story_id,emotion,story_path,question_num,question_text,answer_options,correct_answer,question_audio_path
12008_1_1_sad,sad,stim_normalized/12008_1_1_sad/story/12008_1_1_sad_studio.wav,1,How did Ginger die in the end?,A. The vet put her down | B. She got lost | C. She died in her sleep | D. She got hit by a car,"A,C",stim_normalized/12008_1_1_sad/questions/12008_1_1_sad_nvidia_q1.wav
12008_1_1_sad,sad,stim_normalized/12008_1_1_sad/story/12008_1_1_sad_studio.wav,2,How did the other dogs act when Ginger got sick?,A. They tried to steal her food | B. They were nicer to her | C. They played tricks on her | D. They got sick too,B,stim_normalized/12008_1_1_sad/questions/12008_1_1_sad_nvidia_q2.wav
12008_1_1_sad,sad,stim_normalized/12008_1_1_sad/story/12008_1_1_sad_studio.wav,3,How do you think he felt when Ginger would cuddle with him?,A. Uncomfortable | B. Energized | C. Loved | D. Distant,C,stim_normalized/12008_1_1_sad/questions/12008_1_1_sad_nvidia_q3.wav
12008_1_1_sad,sad,stim_normalized/12008_1_1_sad/story/12008_1_1_sad_studio.wav,4,How did he feel when he found out Ginger had died?,Free response,,stim_normalized/12008_1_1_sad/questions/12008_1_1_sad_nvidia_q4.wav
12008_1_1_sad,sad,stim_normalized/12008_1_1_sad/story/12008_1_1_sad_studio.wav,5,How did this story make you feel?,Free response,,stim_normalized/12008_1_1_sad/questions/12008_1_1_sad_nvidia_q5.wav
12008_1_2_happy,happy,stim_normalized/12008_1_2_happy/story/12008_1_2_happy_studio.wav,1,What activity is the story about?,A. Cycling | B. Climbing | C. Surfing | D. Sky-diving,B,stim_normalized/12008_1_2_happy/questions/12008_1_2_happy_q1.wav
12008_1_2_happy,happy,stim_normalized/12008_1_2_happy/story/12008_1_2_happy_studio.wav,2,How did he feel at the beginning?,A. Terrified | B. Confident | C. Comfortable | D. Sad,A,stim_normalized/12008_1_2_happy/questions/12008_1_2_happy_q2.wav
12008_1_2_happy,happy,stim_normalized/12008_1_2_happy/story/12008_1_2_happy_studio.wav,3,What did he do at the top?,A. Wave to everyone | B. Stay up for an hour | C. Ring a bell | D. Refused to come down,C,stim_normalized/12008_1_2_happy/questions/12008_1_2_happy_q3.wav
12008_1_2_happy,happy,stim_normalized/12008_1_2_happy/story/12008_1_2_happy_studio.wav,4,How did he feel when she got down?,Free response,,stim_normalized/12008_1_2_happy/questions/12008_1_2_happy_q4.wav
12008_1_2_happy,happy,stim_normalized/12008_1_2_happy/story/12008_1_2_happy_studio.wav,5,How did this story make you feel?,Free response,,stim_normalized/12008_1_2_happy/questions/12008_1_2_happy_q5.wav
12008_1_2_sad,sad,stim_normalized/12008_1_2_sad/story/12008_1_2_sad_studio.wav,1,Who just got out of the hospital?,A. Baby sister | B. Grandma | C. Mom | D. Great Uncle,A,stim_normalized/12008_1_2_sad/questions/12008_2_sad_studio_q1.wav
12008_1_2_sad,sad,stim_normalized/12008_1_2_sad/story/12008_1_2_sad_studio.wav,2,Why was he sad?,A. He didn't get a present | B. Sister went back to the hospital | C. He didn't get attention | D. He missed his dog,B,stim_normalized/12008_1_2_sad/questions/12008_2_sad_studio_q2.wav
12008_1_2_sad,sad,stim_normalized/12008_1_2_sad/story/12008_1_2_sad_studio.wav,3,What do they call Pterodactyling?,A. When everyone is quiet | B. When someone is lonely | C. When Jada squeals | D. When Jada crawls,C,stim_normalized/12008_1_2_sad/questions/12008_2_sad_studio_q3.wav
12008_1_2_sad,sad,stim_normalized/12008_1_2_sad/story/12008_1_2_sad_studio.wav,4,How did he feel when Jada was in the hospital?,Free response,,stim_normalized/12008_1_2_sad/questions/12008_2_sad_studio_q4.wav
12008_1_2_sad,sad,stim_normalized/12008_1_2_sad/story/12008_1_2_sad_studio.wav,5,How did this story make you feel?,Free response,,stim_normalized/12008_1_2_sad/questions/12008_2_sad_studio_q5.wav
12014_1_2_happy,happy,stim_normalized/12014_1_2_happy/story/12014_1_2_happy_studio.wav,1,Where did she think she was going?,A. To a movie | B. Swimming | C. To play softball | D. Kayaking,C,stim_normalized/12014_1_2_happy/questions/12014_2_happy_studio_q1.wav
12014_1_2_happy,happy,stim_normalized/12014_1_2_happy/story/12014_1_2_happy_studio.wav,2,What city were they in?,A. Chicago | B. Sacramento | C. Seattle | D. Indianapolis,A,stim_normalized/12014_1_2_happy/questions/12014_2_happy_studio_q2.wav
12014_1_2_happy,happy,stim_normalized/12014_1_2_happy/story/12014_1_2_happy_studio.wav,3,What did the boyfriend do?,A. Took her shopping | B. Canceled the outing | C. Sang her a song | D. Proposed to her,D,stim_normalized/12014_1_2_happy/questions/12014_2_happy_studio_q3.wav
